category,illusion_type,model,n,accuracy,p_pred_correct,p_pred_illusory,p_pred_other,mean_prob_correct,mean_prob_illusory,mean_prob_other,control_argmax_accuracy
geometric,ebbinghaus,resnet50,480,0.0,0.0,1.0,0.0,0.111361204277623,0.8639055327332023,0.024733262989175265,0.0
geometric,ebbinghaus,vit_b_16,480,0.0,0.0,0.0875,0.9125,0.000614288268245258,0.20694580169864188,0.7924399100331124,0.0
geometric,ebbinghaus,vit_l_16,480,0.0625,0.0625,0.7,0.2375,0.26005873138443075,0.42346103220600945,0.31648023640956,0.03958333333333333
geometric,muller_lyer,clip_vit_b32,600,1.0,1.0,0.0,0.0,0.9214437871008759,0.0038583902723538554,0.0746978226267699,1.0
geometric,muller_lyer,convnext_base,600,0.275,0.275,0.7233333333333334,0.0016666666666666668,0.26395351269202316,0.7163060592135646,0.019740428094412024,1.0
geometric,muller_lyer,dinov2_vit_b14,600,1.0,1.0,0.0,0.0,0.33333333333333554,0.33333333333333554,0.33333333333333554,
geometric,muller_lyer,llava_1.5,600,0.021666666666666667,0.021666666666666667,0.8783333333333333,0.1,0.021666666666666667,0.8783333333333333,0.1,0.03166666666666667
geometric,muller_lyer,llava_1.5_dpo,600,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.205
geometric,muller_lyer,resnet50,600,0.245,0.245,0.7483333333333333,0.006666666666666667,0.22659498872029998,0.7478910653285269,0.02551394595117357,1.0
geometric,muller_lyer,vit_b_16,600,0.295,0.295,0.705,0.0,0.2810723494060382,0.7177639930801005,0.0011636575138612504,1.0
geometric,muller_lyer,vit_l_16,600,0.15833333333333333,0.15833333333333333,0.8416666666666667,0.0,0.16412774989052897,0.8353162575098725,0.0005559925995979084,1.0
geometric,ponzo,clip_vit_b32,480,0.0,0.0,0.0,1.0,0.07471094112775749,0.1513997465485001,0.7738893123237423,0.26875
geometric,ponzo,convnext_base,480,0.0,0.0,1.0,0.0,0.011340038961548473,0.9866588367730683,0.002001124265383417,0.0
geometric,ponzo,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
geometric,ponzo,llava_1.5,480,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0,0.9583333333333334,0.041666666666666664,0.0
geometric,ponzo,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
